,Feature,Mean,Std
363,DPQ020_0,0.1434007676593059,0.2027985052972819
5,bp_sys_mean,0.1008003763912057,0.1425532593847559
99,bp_med_n_pills_None,0.0820037607027325,0.0444134258916995
80,bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg,0.0687094596167735,0.0971698496533676
79,bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg,0.0562085360601118,0.0794908740173474
95,bp_med_n_class_One,0.0453924784326811,0.0641946586292259
197,BPXPTY_1,0.0371155753980518,0.0524890804233351
88,bp_med_use_No,0.0332200107449939,0.0469801897377503
174,DR1LANG_1,0.0295666461570708,0.0406843348319252
209,DBQ330_2,0.0269738957708263,0.0381468492291409
106,bp_med_pills_gteq_2_No,0.0247836048194359,0.0273947109274223
241,HSQ590_2,0.0225008084622206,0.0318209484916316
93,bp_med_recommended_accaha_Yes,0.0181136055696458,0.0256150476368121
91,bp_med_recommended_jnc7_Yes,0.0069590209391396,0.0097401274267768
338,PFQ059_2,0.0053722100147099,0.0075974522627193
114,bp_med_angioten_No,0.0047743797434584,0.0067517521194467
69,demo_race_Hispanic,0.0020070116375233,0.0026642973306109
354,WHQ070_2,0.0019196228901427,0.0024650436228329
169,DSD010AN_7,0.0014542860723473,0.0020566670692583
162,cc_cvd_ascvd_Yes,0.001389307443817,0.0019635801043504
47,LBXMPSI,0.0011686369181513,0.0002444185608795
