"","coef","mean","sd"
"(Intercept)",-17.7672563541638,0.0621900937482817,2.03704982788443
"demo_age_years",0,0.0621900937482817,2.03704982788443
"bp_sys_mean",-0.747222910202276,0.0621900937482817,2.03704982788443
"bp_dia_mean",0,0.0621900937482817,2.03704982788443
"DSDCOUNT_x",0,0.0621900937482817,2.03704982788443
"DSDANCNT",0,0.0621900937482817,2.03704982788443
"DR1EXMER",0,0.0621900937482817,2.03704982788443
"DR1DAY",0,0.0621900937482817,2.03704982788443
"DS1DSCNT",0,0.0621900937482817,2.03704982788443
"DS1ANCNT",0,0.0621900937482817,2.03704982788443
"BMXWT",0,0.0621900937482817,2.03704982788443
"BMXHT",0,0.0621900937482817,2.03704982788443
"BMXBMI",0,0.0621900937482817,2.03704982788443
"BMXLEG",0,0.0621900937482817,2.03704982788443
"BMXARML",0,0.0621900937482817,2.03704982788443
"BMXARMC",0,0.0621900937482817,2.03704982788443
"BMXWAIST",0,0.0621900937482817,2.03704982788443
"BPXPLS",0,0.0621900937482817,2.03704982788443
"BPXML1",0,0.0621900937482817,2.03704982788443
"BPXSY1",0,0.0621900937482817,2.03704982788443
"BPXDI1",0,0.0621900937482817,2.03704982788443
"BPXSY2",-0.0718214258355908,0.0621900937482817,2.03704982788443
"BPXDI2",0,0.0621900937482817,2.03704982788443
"BPXSY3",0,0.0621900937482817,2.03704982788443
"BPXDI3",0,0.0621900937482817,2.03704982788443
"LBXWBCSI",0,0.0621900937482817,2.03704982788443
"LBXLYPCT",0,0.0621900937482817,2.03704982788443
"LBXMOPCT",0,0.0621900937482817,2.03704982788443
"LBXNEPCT",0,0.0621900937482817,2.03704982788443
"LBXEOPCT",0,0.0621900937482817,2.03704982788443
"LBXBAPCT",0,0.0621900937482817,2.03704982788443
"LBDLYMNO",0,0.0621900937482817,2.03704982788443
"LBDMONO",0,0.0621900937482817,2.03704982788443
"LBDNENO",0,0.0621900937482817,2.03704982788443
"LBDEONO",0,0.0621900937482817,2.03704982788443
"LBDBANO",0,0.0621900937482817,2.03704982788443
"LBXRBCSI",0,0.0621900937482817,2.03704982788443
"LBXHGB",0,0.0621900937482817,2.03704982788443
"LBXHCT",0,0.0621900937482817,2.03704982788443
"LBXMCVSI",0,0.0621900937482817,2.03704982788443
"LBXMCHSI",0,0.0621900937482817,2.03704982788443
"LBXMC",0,0.0621900937482817,2.03704982788443
"LBXRDW",0,0.0621900937482817,2.03704982788443
"LBXPLTSI",0,0.0621900937482817,2.03704982788443
"LBXMPSI",0,0.0621900937482817,2.03704982788443
"LBDTCSI",0,0.0621900937482817,2.03704982788443
"LBDHDD",0,0.0621900937482817,2.03704982788443
"LBXGH",0,0.0621900937482817,2.03704982788443
"URXUMA",0,0.0621900937482817,2.03704982788443
