"Outcome","Feature","Coefficient_Pre","Coefficient_Post","Coefficient_Overall"
"bp_control_140_90","(Intercept)",6.8018758016371,6.91727028332024,6.78966139777476
"bp_control_140_90","(Intercept)",0,0,0
"bp_control_140_90","(Intercept)",-0.659417067841136,-0.787397480859067,-0.713863580828565
"bp_control_140_90","(Intercept)",0,0,0
"bp_control_140_90","(Intercept)",0,0,0
"bp_control_140_90","(Intercept)",6.8018758016371,6.91727028332024,6.78966139777476
"bp_control_140_90","(Intercept)",0,0,0
"bp_control_140_90","(Intercept)",-0.659417067841136,-0.787397480859067,-0.713863580828565
"bp_control_140_90","(Intercept)",0,0,0
"bp_control_140_90","(Intercept)",0,0,0
"bp_control_140_90","bp_sys_mean",6.8018758016371,6.91727028332024,6.78966139777476
"bp_control_140_90","bp_sys_mean",0,0,0
"bp_control_140_90","bp_sys_mean",-0.659417067841136,-0.787397480859067,-0.713863580828565
"bp_control_140_90","bp_sys_mean",0,0,0
"bp_control_140_90","bp_sys_mean",0,0,0
"bp_control_140_90","bp_sys_mean",6.8018758016371,6.91727028332024,6.78966139777476
"bp_control_140_90","bp_sys_mean",0,0,0
"bp_control_140_90","bp_sys_mean",-0.659417067841136,-0.787397480859067,-0.713863580828565
"bp_control_140_90","bp_sys_mean",0,0,0
"bp_control_140_90","bp_sys_mean",0,0,0
"bp_control_140_90","bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg",6.8018758016371,6.91727028332024,6.78966139777476
"bp_control_140_90","bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg",0,0,0
"bp_control_140_90","bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg",-0.659417067841136,-0.787397480859067,-0.713863580828565
"bp_control_140_90","bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg",0,0,0
"bp_control_140_90","bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg",0,0,0
"bp_control_140_90","bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg",6.8018758016371,6.91727028332024,6.78966139777476
"bp_control_140_90","bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg",0,0,0
"bp_control_140_90","bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg",-0.659417067841136,-0.787397480859067,-0.713863580828565
"bp_control_140_90","bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg",0,0,0
"bp_control_140_90","bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg",0,0,0
"bp_control_140_90","bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",6.8018758016371,6.91727028332024,6.78966139777476
"bp_control_140_90","bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",0,0,0
"bp_control_140_90","bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",-0.659417067841136,-0.787397480859067,-0.713863580828565
"bp_control_140_90","bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",0,0,0
"bp_control_140_90","bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",0,0,0
"bp_control_140_90","bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",6.8018758016371,6.91727028332024,6.78966139777476
"bp_control_140_90","bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",0,0,0
"bp_control_140_90","bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",-0.659417067841136,-0.787397480859067,-0.713863580828565
"bp_control_140_90","bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",0,0,0
"bp_control_140_90","bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",0,0,0
"bp_control_140_90","bp_cat_meds_excluded_SBP160plusorDBP100plusmmHg",6.8018758016371,6.91727028332024,6.78966139777476
"bp_control_140_90","bp_cat_meds_excluded_SBP160plusorDBP100plusmmHg",0,0,0
"bp_control_140_90","bp_cat_meds_excluded_SBP160plusorDBP100plusmmHg",-0.659417067841136,-0.787397480859067,-0.713863580828565
"bp_control_140_90","bp_cat_meds_excluded_SBP160plusorDBP100plusmmHg",0,0,0
"bp_control_140_90","bp_cat_meds_excluded_SBP160plusorDBP100plusmmHg",0,0,0
"bp_control_140_90","bp_cat_meds_excluded_SBP160plusorDBP100plusmmHg",6.8018758016371,6.91727028332024,6.78966139777476
"bp_control_140_90","bp_cat_meds_excluded_SBP160plusorDBP100plusmmHg",0,0,0
"bp_control_140_90","bp_cat_meds_excluded_SBP160plusorDBP100plusmmHg",-0.659417067841136,-0.787397480859067,-0.713863580828565
"bp_control_140_90","bp_cat_meds_excluded_SBP160plusorDBP100plusmmHg",0,0,0
"bp_control_140_90","bp_cat_meds_excluded_SBP160plusorDBP100plusmmHg",0,0,0
