Feature,Importance,f1-score
htn_resistant_accaha,0.1379778601637162,
cc_diabetes,0.10885581366162493,
DS1DSCNT,0.10582565847354534,
MCQ220,0.08710650527729395,
bp_med_n_pills,0.0751577270061694,
demo_age_cat,0.06772526155638706,
bp_cat_meds_included,0.06529037000144991,
demo_age_years,0.06464661209571435,
LBXMCHSI,0.06145871667089396,
cc_cvd_any,0.03717324196082842,
DS1AN,0.033271388792454344,
bp_med_recommended_accaha,0.02111226679288683,
BPQ020,0.017693841545530803,
htn_resistant_jnc7_thz,0.01575345922660044,
BPACSZ,0.014987157069119541,
DIQ050,0.01302110227372223,
MCQ092,0.012685534402617311,
htn_resistant_accaha_thz,0.01112238761117611,
MCQ160A,0.0072516585322004576,
OSQ060,0.005856222057454382,
BPXML1,0.005305406827308677,
HUQ090,0.0045329228989357305,
BPXPTY,0.004071902363590288,
BPXDI1,0.003708232202956102,
MCQ080,0.0036597034053266744,
BPQ040A,0.0033682678119256603,
bp_med_pills_gteq_2,0.002223299248518445,
PFQ059,0.0013665424415891694,
BPAEN1,0.0008770461172603066,
cc_cvd_mi,0.0007862595340868131,
BMXHT,0.0007779274696175177,
HUQ030,0.0007531954493909375,
cc_smoke,0.0005983526564025807,
BMXWT,0.0005893355678290052,
BPQ060,0.0005771891650367727,
BPQ030,0.0005498812508987836,
BPAARM,0.0004683097399182864,
PUQ110,0.0002167151288477395,
bp_med_alpha,0.000213422169573875,
DSDCOUNT.x,0.00017048104985746112,
MCQ160C,0.00014197893830724824,
MCQ010,0.00011279824485979586,
BMXBMI,0.00010095221135185453,
SMAQUEX,9.793293581300257e-05,
bp_med_diur_loop,8.989467133908803e-05,
MCQ160L,8.827512860527372e-05,
BPXPLS,6.987327103798679e-05,
DPQ070,6.042475074302187e-05,
MCQ160B,5.39848238390627e-05,
LBXHCT,5.2753711394908186e-05,
BPAEN2,4.931129663982267e-05,
BPXDI2,4.253781166382461e-05,
BMXARML,3.644626176923418e-05,
LBXLYPCT,2.9365656661115594e-05,
BMXLEG,2.033839771166941e-05,
DR1LANG,1.717817723355691e-05,
DPQ080,1.6080393391171918e-05,
DPQ060,1.3801979467443545e-05,
BPQ090D,1.2878722700694322e-05,
HSQ590,1.028083104910767e-05,
PUQ100,8.043631325322299e-06,
OSQ010B,7.798473241445455e-06,
WHD010,7.339449233890438e-06,
svy_psu,7.079874981659658e-06,
LBXMC,6.8999455283641596e-06,
DPQ010,6.342901340213087e-06,
ALQ130,5.721031965301649e-06,
DSDANCNT,5.459426242472858e-06,
DPQ040,5.033322603681543e-06,
DIQ010,4.64859329879451e-06,
LBDLYMNO,3.4118429989462874e-06,
bp_med_renin_inhibitors,3.2538253737621244e-06,
svy_strata,3.2363146481964037e-06,
INDFMMPC,2.8466529533320527e-06,
LBXGH,2.7975512794406575e-06,
BPXSY1,2.6237018952090737e-06,
bp_med_diur_thz,2.3342764016863005e-06,
BPXDI3,2.32633248290724e-06,
LBXMCVSI,1.9153225466317125e-06,
BPQ080,1.891299796276952e-06,
demo_race,1.6297620059083748e-06,
OSQ010C,6.394099394336983e-07,
BPQ070,5.101540787982526e-07,
cc_cvd_ascvd,4.83328766661486e-07,
CDQ010,4.5436096290880367e-07,
bp_med_ccb_dh,4.304028840634032e-07,
WHQ070,2.42826970405236e-07,
bp_med_diur_Ksparing,2.1509655640163493e-07,
WHD050,1.2500186231053898e-07,
demo_gender,0.0,
bp_med_recommended_jnc7,0.0,
bp_dia_mean,0.0,
demo_pregnant,0.0,
bp_cat_meds_excluded,0.0,
demo_race_black,0.0,
DSD010AN,0.0,
svy_year,0.0,
cc_cvd_hf,0.0,
bp_med_use,0.0,
bp_sys_mean,0.0,
bp_med_aldo,0.0,
bp_med_n_class,0.0,
bp_med_combination,0.0,
bp_med_ace,0.0,
cc_cvd_chd,0.0,
DR1EXMER,0.0,
cc_ckd,0.0,
bp_med_angioten,0.0,
bp_med_beta,0.0,
bp_med_central,0.0,
cc_bmi,0.0,
bp_med_ccb,0.0,
bp_med_ccb_ndh,0.0,
htn_resistant_jnc7,0.0,
htn_aware,0.0,
bp_med_vasod,0.0,
DR1DRSTZ,0.0,
LBXMOPCT,0.0,
DR1DAY,0.0,
URXUCR,0.0,
HIQ210,0.0,
HUQ010,0.0,
HOD050,0.0,
HOQ065,0.0,
IMQ020,0.0,
MCQ053,0.0,
MCQ160D,0.0,
MCQ160E,0.0,
MCQ160F,0.0,
OSQ010A,0.0,
PFQ090,0.0,
SMQ020,0.0,
WHD020,0.0,
WHQ030,0.0,
WHD110,0.0,
WHD120,0.0,
WHD130,0.0,
WHD140,0.0,
DPQ020,0.0,
DPQ030,0.0,
DPQ050,0.0,
DPQ090,0.0,
SLQ050,0.0,
DBQ330,0.0,
URXUMA,0.0,
DS1DS,0.0,
LBXHA,0.0,
DS1ANCNT,0.0,
DR2DRSTZ,0.0,
BMXARMC,0.0,
BMXWAIST,0.0,
BPXPULS,0.0,
BPXSY2,0.0,
BPXSY3,0.0,
BPAEN3,0.0,
LBXWBCSI,0.0,
LBXNEPCT,0.0,
LBXEOPCT,0.0,
LBXBAPCT,0.0,
LBDMONO,0.0,
LBDNENO,0.0,
LBDEONO,0.0,
LBDBANO,0.0,
LBXRBCSI,0.0,
LBXHGB,0.0,
LBXRDW,0.0,
LBXPLTSI,0.0,
LBXMPSI,0.0,
LBDTCSI,0.0,
LBDHDD,0.0,
SEQN,0.0,
,,0.9992944500333522
