"term","estimate","std.error","or","statistic","p.value","conf.low","conf.high","significant"
"(Intercept)",-0.917017745019366,0.385407572845769,0.399709300425925,-2.37934542450294,0.0175672868830792,-1.67241658779707,-0.161618902241658,TRUE
"demo_age_years",-0.00193332274348279,0.00357716389277687,0.998068544921139,-0.540462444951605,0.588921819527864,-0.00894456397332544,0.00507791848635987,FALSE
"demo_genderWomen",0.167561111185973,0.0858862589240846,1.18241754691566,1.95096530323996,0.0511554675519599,-0.000775956305233,0.335898178677179,FALSE
"raceNon-Hispanic Asian",0.240430709122181,0.166627772247112,1.27179680685888,1.44292098417794,0.149145347673661,-0.0861597244821588,0.567021142726521,FALSE
"raceNon-Hispanic Black",0.000180346509152753,0.123533089917937,1.00018036277256,0.00145990446181308,0.998835269475613,-0.241944509730004,0.24230520274831,FALSE
"raceNon-Hispanic White",0.24849152848623,0.119297675081474,1.28208996108054,2.08295365619257,0.0373369617620713,0.0146680853265402,0.48231497164592,TRUE
"raceOther",0.184412505426472,0.217320966763789,1.20251176342804,0.848572082908657,0.396185248011194,-0.241536589430555,0.610361600283498,FALSE
"HIQ011Yes",0.588794163658553,0.152866287796026,1.80181441161683,3.85169400099648,0.000119673617724103,0.289176239578343,0.888412087738763,TRUE
"cc_diabetesYes",-0.331883025355765,0.0972815573294195,0.717571255587682,-3.41157187926101,0.00065502428734642,-0.522554877721428,-0.141211172990103,TRUE
"cc_ckdYes",-0.845713853905157,0.107014736271065,0.429250826435561,-7.90277940566048,4.43173464470687e-15,-1.05546273699644,-0.635964970813871,TRUE
"URXUMS",-0.000576719479339169,0.000227289058307329,0.999423446791374,-2.53738338147082,0.0127248477777173,-0.00102220603362153,-0.000131232925056805,TRUE
"LBXSBU",0.0467159823342368,0.00719473529486658,1.04782436618312,6.49307867762259,2.4075794386591e-10,0.0326143011562983,0.0608176635121753,TRUE
"LBXSTR",0.000602009837860577,0.000459260512367921,1.00060219108215,1.31082429612041,0.191092727320855,-0.000298140766380548,0.0015021604421017,FALSE
"LBDMONO",0.317975895596824,0.184374361692871,1.37434313310731,1.72462099761194,0.0853975766857719,-0.0433978533212026,0.679349644514851,FALSE
"LBXBPB",-0.114958848689535,0.040201084387441,0.891402825546501,-2.85959571591677,0.00428652505520096,-0.193752974088919,-0.0361647232901506,TRUE
"LBXTC",-0.00629721435703472,0.00111595047974911,0.99372257154349,-5.64291558748241,3.29808337463263e-08,-0.00848447729734297,-0.00410995141672647,TRUE
"phq9_categoryMinimal",-0.0468362167890832,0.109061459158952,0.954243673885211,-0.429447920010146,0.667626975471714,-0.260596676740628,0.166924243162462,FALSE
"phq9_categoryModerate",0.250815110849035,0.176467214623202,1.28507246640814,1.42131279957347,0.155327562070582,-0.0950606298124403,0.59669085151051,FALSE
"phq9_categoryModerately Severe",0.269745560184833,0.272770557889236,1.30963118602023,0.988910101853323,0.322784739759575,-0.264884733278071,0.804375853647736,FALSE
"phq9_categorySevere",0.625950106177231,0.371169882709688,1.87002183295853,1.68642482953505,0.0918183008702875,-0.101542863933758,1.35344307628822,FALSE
"cc_bmi25 to <30",0.25420199099451,0.135597505441676,1.28943223166375,1.87468043874782,0.0609792659586476,-0.0115691196711737,0.519973101660195,FALSE
"cc_bmi30 to <35",0.290675619131941,0.155785938779662,1.33733070908719,1.86586556789995,0.0621553823207918,-0.0146648208761963,0.596016059140079,FALSE
"cc_bmi35+",0.252531247982184,0.163029296331616,1.2872797204201,1.54899305624501,0.121484873390623,-0.0670061728277838,0.572068668792153,FALSE
"WHQ030Overweight",0.229502305693264,0.105426357667896,1.2579737677216,2.1768968479042,0.029570927240394,0.0228666446641874,0.436137966722342,TRUE
"WHQ030Underweight",-0.0808900964175318,0.219079142838671,0.922295049404727,-0.369227738293184,0.71198329022448,-0.510285216381326,0.348505023546263,FALSE
