Medication Use = Yes,,,,,,,,,Medication Use = No,,,,,,,,
term...1,estimate...2,std.error...3,or...4,statistic...5,p.value...6,conf.low...7,conf.high...8,significant...9,term...10,estimate...11,std.error...12,or...13,statistic...14,p.value...15,conf.low...16,conf.high...17,significant...18
(Intercept),4.049397275,0.872291923,57.36287256,4.642250111,3.7938032572235e-06,2.339705106,5.759089443,TRUE,(Intercept),-28.56606852,0.706965135,3.92567254413443e-13,-40.40661569,2.52246413464412e-148,-29.95172019,-27.18041686,TRUE
demo_age_years,-0.037068702,0.005961699,0.963609931,-6.217808321,6.63682929931514e-10,-0.048753632,-0.025383772,TRUE,demo_age_years,6.47866138950674e-16,0.004130866,1,1.56835419939279e-13,1,-0.008096498,0.008096498,FALSE
demo_genderWomen,-0.018129998,0.136608871,0.982033362,-0.132714646,0.894438213,-0.285883384,0.249623389,FALSE,demo_genderWomen,1.7696098343102e-14,0.115974165,1,1.52586555944082e-13,1,-0.227309362,0.227309362,FALSE
raceNon-Hispanic Asian,-0.116992361,0.262066726,0.889591989,-0.446422034,0.655361395,-0.630643144,0.396658423,FALSE,raceNon-Hispanic Asian,1.48559988968387e-15,0.186964329,1,7.94590016076972e-15,1,-0.366450084,0.366450084,FALSE
raceNon-Hispanic Black,-0.264000511,0.185329298,0.767973147,-1.424494205,0.154525615,-0.627245935,0.099244913,FALSE,raceNon-Hispanic Black,2.41085872144899e-15,0.152353395,1,1.5824122048584e-14,1,-0.298612655,0.298612655,FALSE
raceNon-Hispanic White,0.21825417,0.178055795,1.24390319,1.225762804,0.220493438,-0.130735187,0.567243528,FALSE,raceNon-Hispanic White,-2.45E-14,0.140222492,1,-1.75E-13,1,-0.274836085,0.274836085,FALSE
raceOther,-0.156619409,0.455007224,0.855029414,-0.344213016,0.730737659,-1.048433568,0.73519475,FALSE,raceOther,-1.50E-14,0.336340668,1,-4.46E-14,1,-0.659227708,0.659227708,FALSE
HIQ011Yes,0.261385136,0.215603207,1.298727756,1.212343453,0.2255847,-0.161197149,0.683967422,FALSE,HIQ011Yes,3.49902431938744e-14,0.127221985,1,2.75032991188553e-13,1,-0.249355091,0.249355091,FALSE
OHQ845Good and Above,0.21613052,0.132239488,1.241264378,1.634387144,0.102401642,-0.043058878,0.475319917,FALSE,OHQ845Good and Above,2.04006488931177e-14,0.109082622,1,1.87020154628291e-13,1,-0.21380194,0.21380194,FALSE
PFQ049Yes,0.430908822,0.163283804,1.538655252,2.639017534,0.008406707,0.110872566,0.750945078,TRUE,PFQ049Yes,8.89977564712407e-15,0.178299367,1,4.99147909116119e-14,1,-0.34946676,0.34946676,FALSE
PFQ054Yes,-0.329731958,0.1733916,0.719116461,-1.901660514,0.057419926,-0.669579494,0.010115577,FALSE,PFQ054Yes,3.32538467308368e-15,0.170895681,1,1.94585646898085e-14,1,-0.334955536,0.334955536,FALSE
cc_diabetesYes,-0.897967972,0.134441895,0.407396661,-6.679227261,3.45404916816331e-11,-1.161474087,-0.634461857,TRUE,cc_diabetesYes,-7.19E-14,0.163837573,1,-4.39E-13,1,-0.321121643,0.321121643,FALSE
cc_ckdYes,-1.092140133,0.142107613,0.335497715,-7.685303469,2.85061208302759e-14,-1.370671055,-0.813609211,TRUE,cc_ckdYes,-2.17E-14,0.127400066,1,-1.71E-13,1,-0.249704129,0.249704129,FALSE
cc_cvd_chdYes,0.219969172,0.303690421,1.246038317,0.724320414,0.468990207,-0.375264054,0.815202398,FALSE,cc_cvd_chdYes,7.66421939303175e-15,0.501131255,1,1.52938363255674e-14,1,-0.98221726,0.98221726,FALSE
cc_cvd_strokeYes,0.599935184,0.315740773,1.822000701,1.900087779,0.057628567,-0.018916731,1.218787099,FALSE,cc_cvd_strokeYes,1.14923082982706e-14,0.486307196,1,2.36317874656869e-14,1,-0.953162104,0.953162104,FALSE
cc_cvd_hfYes,0.397350431,0.275085684,1.487877237,1.444460593,0.148832915,-0.14181751,0.936518372,FALSE,cc_cvd_hfYes,-2.89E-14,0.4434086,1,-6.53E-14,1,-0.869080855,0.869080855,FALSE
cc_cvd_anyYes,-0.136681636,0.341378732,0.872247874,-0.400381229,0.688936694,-0.805783951,0.532420679,FALSE,cc_cvd_anyYes,4.12102181078909e-14,0.524235572,1,7.86101140436179e-14,1,-1.027501721,1.027501721,FALSE
