"term","estimate","std.error","or","statistic","p.value","conf.low","conf.high","significant"
"(Intercept)",1.60585417686287,0.724169223219684,4.98211339172439,2.21751232360191,0.0272123310571732,0.186482499352289,3.02522585437345,TRUE
"demo_age_years",-0.00945525141437749,0.00437638816526372,0.990589308921626,-2.1605148029203,0.0308596768002219,-0.0180329722182944,-0.000877530610460593,TRUE
"demo_genderWomen",0.187957272351586,0.113184549454115,1.20678195129308,1.6606265895663,0.0969722560035976,-0.0338844445784806,0.409798989281652,FALSE
"raceNon-Hispanic Asian",-0.0770564440122411,0.216389160057008,0.925837594143145,-0.356101220559941,0.721804857532434,-0.501179197723977,0.347066309699495,FALSE
"raceNon-Hispanic Black",-0.0243333625541182,0.155690459356631,0.975960306901732,-0.156293215747917,0.87581924433732,-0.329486662893116,0.280819937784879,FALSE
"raceNon-Hispanic White",0.304795998161491,0.145680773413263,1.35634827723869,2.09221842402535,0.036553381780961,0.019261682271496,0.590330314051487,TRUE
"raceOther",0.0395776576856855,0.370262293652848,1.04037128857447,0.106890867269333,0.914887040924212,-0.686136437873897,0.765291753245268,FALSE
"HIQ011Yes",0.588123422365637,0.166889142576669,1.80060626551082,3.52403645489072,0.000435239225671329,0.261020702915365,0.915226141815908,TRUE
"OHQ845Good and Above",0.208200487628215,0.112079858659686,1.2314600373032,1.8576084063452,0.0633824733782459,-0.0114760353447695,0.427877010601199,FALSE
"PFQ049Yes",0.710950871457575,0.143401331883848,2.03592624269431,4.95777035065079,7.78292488323596e-07,0.429884260965233,0.992017481949917,TRUE
"PFQ054Yes",-0.391077693901625,0.154022917869971,0.676327607467363,-2.53908768454691,0.0111958305603937,-0.692962612926769,-0.0891927748764809,TRUE
"cc_diabetesYes",-0.445713806725264,0.123882912522404,0.640367014571942,-3.59786347971645,0.000329218291323234,-0.688524315269176,-0.202903298181353,TRUE
"cc_ckdYes",-0.8840807491361,0.1225442310671,0.413093735569133,-7.21438081121919,7.85868065993071e-13,-1.12426744202762,-0.643894056244583,TRUE
"cc_cvd_hfYes",0.228790045864266,0.241838638932426,1.25707808255906,0.94604421722781,0.344250385463772,-0.245213686443289,0.702793778171822,FALSE
"cc_cvd_anyYes",0.47219722667291,0.158176052993403,1.60351360819551,2.98526368395729,0.00287018356381773,0.16217216280584,0.78222229053998,TRUE
"LBXRBCSI",-0.301726827035859,0.116909721121132,0.739540059648717,-2.58085319289432,0.0103112631927763,-0.530869880433278,-0.0725837736384397,TRUE
"LBXTC",-0.0061723960204037,0.00130418805404558,0.993846614083174,-4.73275000584233,2.8546573238435e-06,-0.00872860460633302,-0.00361618743447437,TRUE
"phq9_categoryMinimal",-0.0271950689331718,0.139382279975167,0.973171387503275,-0.195111379567166,0.845326911552398,-0.3003843376845,0.245994199818156,FALSE
"phq9_categoryModerate",-0.260193920202094,0.229157370839646,0.770902077821,-1.13543770924203,0.256337915494461,-0.7093423670478,0.188954526643611,FALSE
"phq9_categoryModerately Severe",0.127790463589093,0.301257677048604,1.1363148784088,0.42418989896306,0.671476035690788,-0.46267458342617,0.718255510604357,FALSE
"phq9_categorySevere",-0.14549728385771,0.42101691082747,0.864592238426307,-0.3455853675135,0.729693153103605,-0.970690429079551,0.679695861364132,FALSE
"cc_bmi25 to <30",0.626561207060751,0.161986531075693,1.87116495419848,3.86798336194983,0.000114326665531618,0.309067606152392,0.944054807969109,TRUE
"cc_bmi30 to <35",0.64940924952045,0.187111311809274,1.91440955653334,3.4707107937034,0.000539631589521638,0.282671078374273,1.01614742066663,TRUE
"cc_bmi35+",0.485110470505423,0.205426022512298,1.62435444218922,2.36148499870011,0.0184053969199447,0.0824754663813183,0.887745474629528,TRUE
"FSDADlow food security: 3-5",0.114154228427693,0.182126291236909,1.12092499005223,0.626786103491238,0.530875839003508,-0.242813302396649,0.471121759252035,FALSE
"FSDADmarginal food security: 1-2",0.0371964671986356,0.175295367268779,1.03789691350746,0.212193098871818,0.831979559935506,-0.306382452648171,0.380775387045442,FALSE
"FSDADvery low food security: 6-10",-0.267430686417326,0.210442412049515,0.765343377475839,-1.27080222951637,0.203957250905223,-0.679897814034375,0.145036441199723,FALSE
"WHQ030Overweight",0.198037757517934,0.133959552289068,1.21900841968499,1.47833994764773,0.139495676491469,-0.0645229649686398,0.460598480004507,FALSE
"WHQ030Underweight",-0.106054905843694,0.258918490261393,0.899375265762484,-0.409607308217443,0.682140918992393,-0.613535146756025,0.401425335068637,FALSE
