"","Year","Feature","Gain_mean","Gain_sd","Cover_mean","Cover_sd","Frequency_mean","Frequency_sd","Count"
"1","pre2013","bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg",0.196873000945227,0.00416569289422739,0.0860211974321951,0.0316978003628756,0.315829121676911,0.0189394969975157,3
"2","pre2013","cc_ckd_No",0.089313007404965,0.00382238107993311,0.190821343410895,0.0152507691986705,0.170599536437161,0.0112887767891044,3
"3","pre2013","cc_diabetes_No",0.058822949471544,0.00519137023759432,0.146311365236512,0.0107815607050292,0.168348528551717,0.0174588249574735,3
"4","pre2013","bp_sys_mean",0.55849444017949,0.00599249195034628,0.345970700788591,0.0272153554964718,0.159143131089471,0.0297156537234988,3
"5","pre2013","bp_dia_mean",0.0945205249919274,0.0041578578374515,0.203510443123015,0.0166933454231755,0.148884610883362,0.0274563995921582,3
"6","pre2013","bp_med_recommended_jnc7_No",0.00197549458183891,0.00418092908426676,0.0269214356272024,0.0372984916807549,0.0253026131296649,0.0375327973134681,3
"7","post2013","bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg",0.218394092922465,0.0106131350022221,0.0806123194751154,0.020521981314163,0.296129405591543,0.0370766244971871,3
"8","post2013","bp_sys_mean",0.552297272612554,0.00779905721730105,0.361788039683667,0.0271883452824388,0.194853755162099,0.0505574316146689,3
"9","post2013","bp_dia_mean",0.0829539179326896,0.00924209620441795,0.19584933198141,0.0185487973990293,0.167802640794037,0.0656286631445451,3
"10","post2013","cc_ckd_No",0.0706851380075272,0.00605044133026259,0.161559650141406,0.0307545626905679,0.146281442998038,0.0204620882465786,3
"11","post2013","cc_diabetes_No",0.0739361222054276,0.00718625830061561,0.17173306660757,0.0245058147264284,0.14236953282966,0.0274016905687485,3
"12","post2013","demo_age_years",0.000566341643806199,0.000121347429158207,0.000135850603963936,0.000116892063919133,0.0271480802134028,0.0260803785826599,2
"13","post2013","bp_cat_meds_included_SBPof130to140orDBP80to90mmHg",1.13759566867854e-06,1.58567695984782e-06,0.00469804855271554,0.00631765369515457,0.0224946871194079,0.0191978990770056,2
"14","post2013","bp_med_recommended_jnc7_No",0.00150052323501395,0.00252237385233205,0.0209999304884054,0.0223540602279133,0.0187627556816011,0.0226372739480681,3
"15","overall","bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg",0.19930968047399,0.00173689139452909,0.0943122256412775,0.0199817593141826,0.28989827015737,0.0329343166047056,3
"16","overall","bp_sys_mean",0.566995782956112,0.00459471808459937,0.359849961909853,0.0137057866164571,0.203896373454421,0.0341361369431873,3
"17","overall","cc_ckd_No",0.0822572242896328,0.00288019266702579,0.178848125017339,0.017183959915692,0.140972975653889,0.0326850633092838,3
"18","overall","bp_dia_mean",0.0863079194110192,0.00272606485229837,0.189602845953584,0.0179577026347479,0.130275132442523,0.0268567491456773,3
"19","overall","cc_diabetes_No",0.0636310564112088,0.00186529146831524,0.138279870266245,0.0132114949933164,0.126166539167868,0.0267936475206747,3
"20","overall","bp_med_recommended_jnc7_No",0.00179783761731504,0.000535034855648831,0.0556831944283407,0.0173206886899863,0.0581453281718913,0.0174725880906555,3
"21","overall","bp_cat_meds_included_SBPof130to140orDBP80to90mmHg",2.85057406548917e-08,1.91018309834088e-08,5.66518608877305e-05,3.35914045169869e-05,0.0368136239084773,0.0208990185682066,2
"22","overall","demo_age_years",2.9828676175699e-05,5.15727085314498e-05,1.68025540306891e-05,1.67414617326706e-05,0.0225716950729005,0.025254206006591,2
