"","source","Feature","Gain","Cover","Frequency","Importance"
"1","xgb10","bp_sys_mean",0.559695114315826,0.364135357574337,0.178890876565295,0.178890876565295
"2","xgb10","bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg",0.197851455149454,0.066317577058602,0.325581395348837,0.325581395348837
"3","xgb10","bp_dia_mean",0.0950889286090011,0.213467476463852,0.166368515205725,0.166368515205725
"4","xgb10","cc_ckd_No",0.0891508213084151,0.198625813986009,0.164579606440072,0.164579606440072
"5","xgb10","cc_diabetes_No",0.0582136803784878,0.151421239412985,0.161001788908766,0.161001788908766
"6","xgb10","bp_med_recommended_jnc7_No",2.38816466426792e-10,0.00603253550421465,0.0035778175313059,0.0035778175313059
"7","xgb11","bp_sys_mean",0.520905232917452,0.764718825637318,0.610441767068273,0.610441767068273
"8","xgb11","bp_dia_mean",0.478722765785007,0.230634227097937,0.385542168674699,0.385542168674699
"9","xgb11","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",0.000372001297540526,0.00464694726474502,0.00401606425702811,0.00401606425702811
"10","xgb12","bp_sys_mean",0.563227357348143,0.35951926850884,0.174520069808028,0.174520069808028
"11","xgb12","bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg",0.201783834584335,0.0689461884346267,0.329842931937173,0.329842931937173
"12","xgb12","bp_dia_mean",0.0872555936702291,0.213448665150816,0.165794066317627,0.165794066317627
"13","xgb12","cc_ckd_No",0.0851181190701332,0.20171407673594,0.165794066317627,0.165794066317627
"14","xgb12","cc_diabetes_No",0.0626150953271603,0.156371801169777,0.164048865619546,0.164048865619546
